folder,profile_name,surface_ini,surface_old,surface_new
20151217,S36M0141,124.01239669421487,126.36156495218165,123.57024275511503
20151218,S36M0145,129.82231404958677,132.80784567375667,129.46693672286347
20151218,S36M0146,130.57438016528926,132.3119779259432,130.185944957193
20151218,S36M0147,128.58264462809916,131.32024243031628,128.65288717020303
20151218,S36M0148,127.10330578512396,129.8326391868759,126.859498815611
20151219,S36M0154,147.1818181818182,149.91528297332115,147.1322252387181
20151219,S36M0157,142.20247933884298,144.46073774737306,142.31817585369572
20151220,S36M0160,151.49586776859505,153.63429108192213,151.19007630832493
20151220,S36M0161,150.80578512396696,152.39462171238847,149.55784497177228
20151220,S36M0162,148.67355371900825,151.40288621676154,148.59090286353603
20151220,S36M0163,151.14462809917356,152.14668783848174,149.8264400018379
20151221,S36M0167,143.94214876033058,146.94007648644038,143.8099113283679
20151221,S36M0168,142.81404958677686,145.20453936909325,142.6322254273109
20151221,S36M0173,137.90495867768595,140.49379576486535,139.04958094935864
20151222,S36M0180,127.59504132231405,129.58470531296916,127.45454011298716
20151222,S36M0183,125.71487603305785,127.60123432171531,126.61569717293605
20151222,S36M0184,118.91322314049587,120.16321810451336,118.73139998270199
20151223,S36M0188,134.78512396694214,136.52685378235765,135.95453975675628
20151223,S36M0189,135.28512396694214,136.52685378235765,136.64462237246335
20151223,S36M0190,137.11570247933884,138.5103247736115,138.42561403336003
20151223,S36M0191,138.60330578512398,139.9979280170519,138.42148180212826
20151223,S36M0192,139.14462809917356,139.9979280170519,150.9793325155042
20151224,S36M0195,134.88429752066116,136.27891990845092,135.74379596393555
20151224,S36M0196,137.61570247933884,138.5103247736115,137.4338785377331
20151224,S36M0197,141.58264462809916,143.46900225174613,141.40908498270437
20151224,S36M0199,147.43388429752065,149.17148135160096,147.2066054008901
20151225,S36M0203,141.33471074380165,143.71693612565286,143.67767992895097
20151225,S36M0204,142.22314049586777,143.71693612565286,142.15288660442457
20151225,S36M0206,142.96280991735537,143.9648699995596,142.23139899782836
20151226,S36M0209,133.94214876033058,135.78305216063745,133.7231348915957
20151226,S36M0211,133.79338842975207,135.287184412824,133.6446224981919
20151226,S36M0212,134.6818181818182,137.0227215301711,134.57024229411036
20151226,S36M0213,137.51239669421489,138.75825864751823,137.30577936954796
20151227,S36M0216,137.41322314049586,138.75825864751823,137.17768020136282
20151227,S36M0217,141.62396694214877,142.22933288221247,140.47106849309057
20151227,S36M0218,143.56198347107437,145.20453936909325,144.38842370081693
20151227,S36M0219,147.38429752066116,148.17974585597403,147.11982854502276
20151227,S36M0221,152.14462809917356,154.1301588297356,153.42974563594908
20151228,S36M0224,141.08264462809916,142.72520063002594,140.80991145409644
20151228,S36M0226,139.24380165289256,140.49379576486535,139.08263879921287
20151228,S36M0227,140.23553719008265,142.22933288221247,140.90908500365913
20151228,S36M0228,140.24380165289256,140.98966351267882,139.94214289542288
20151228,S36M0229,140.98347107438016,142.22933288221247,140.74379575438797
20151229,S36M0232,140.48347107438016,141.48553126049228,140.24379577534273
20151229,S36M0233,140.48347107438016,141.98139900830574,141.68594447523355
20151229,S36M0234,140.48347107438016,141.733465134399,140.28511808766052
20151229,S36M0236,142.86363636363637,144.7086716212798,142.72313451441005
20151230,S36M0242,128.44214876033058,131.56817630422302,129.8512342274189
20151230,S36M0243,127.24380165289256,128.84090369124897,126.98346575256437
20151230,S36M0244,113.46280991735537,115.20454062637873,113.30164814414456
20151230,S36M0245,120.40495867768595,121.65082134795375,120.01239166455343
20151230,S36M0246,125.11570247933884,125.86569720436819,126.71073849126697
20151231,S36M0250,135.13223140495867,136.52685378235765,136.27272156160325
20151231,S36M0251,135.28512396694214,136.27891990845092,135.0702422731556
20151231,S36M0252,134.39256198347107,136.27891990845092,134.1694158646278
20151231,S36M0253,137.32231404958677,139.00619252142496,138.47520080814138
20160101,S36M0258,127.00413223140495,123.13842459139414,126.43387899873778
20160101,S36M0261,121.57438016528926,122.89049071748741,121.17768087191507
20160101,S36M0262,121.28512396694215,123.38635846530087,121.94214364979416
20160101,S36M0264,118.60330578512396,120.4111519784201,117.41735045099631
20160102,S36M0267,118.91322314049587,121.40288747404702,118.71073882654309
20160102,S36M0268,118.48347107438016,120.4111519784201,117.5743752378039
20160102,S36M0269,118.87190082644628,121.89875522186048,121.02478831633925
20160102,S36M0270,119.24380165289256,122.64255684358068,120.75619328627363
20160102,S36M0271,120.10330578512396,122.39462296967395,120.49999494990334
20160103,S36M0274,74.53305785123968,76.77479017083533,73.95041012391448
20160103,S36M0275,56.14462809917355,56.19627863657661,54.92148530157283
20160103,S36M0278,43.54545454545455,45.53512205858715,43.45454363338649
20160104,S36M0281,126.04545454545455,127.10536657390185,124.50412701349705
20160104,S36M0282,125.97520661157024,130.32850693468936,127.18594508292153
20160104,S36M0284,70.62396694214875,73.55164981004782,69.47933593112975
20160105,S36M0288,64.93388429752066,68.84090620581992,66.69834431214258
20160105,S36M0290,72.36363636363636,76.27892242302187,74.81817868258804
20160105,S36M0291,79.25206611570248,82.72520314459689,80.7107404191047
20160106,S36M0295,102.22314049586777,103.30371467885561,122.33470561681315
20160106,S36M0296,96.54545454545455,99.33677269634791,97.2851198897697
20160106,S36M0297,108.26446280991736,110.49379702215083,132.6487547713332
20160106,S36M0298,111.47520661157024,117.43594549153931,113.0413175765425
20160106,S36M0299,70.87190082644628,75.28718692739494,71.88016227679327
20160107,S36M0302,157.43388429752065,157.3532991905231,157.26858845027164
20160107,S36M0303,150.38429752066116,152.39462171238847,150.590902779717
20160107,S36M0304,122.47520661157024,125.121895582648,122.94214360788465
20160107,S36M0306,125.48347107438016,128.59296981734224,124.7685898123309
20160108,S36M0309,145.94214876033058,148.17974585597403,145.4132170462981
20160108,S36M0310,146.6818181818182,148.92354747769423,146.5619773287326
20160108,S36M0312,148.91322314049586,150.90701846894808,148.58677063230425
20160108,S36M0313,151.48347107438016,153.88222495582886,151.66115066874772
20160109,S36M0314,156.10330578512398,157.3532991905231,155.99999346211553
20160111,S36M0321,162.05371900826447,163.30371216428466,161.9256130484864
20160111,S36M0322,164.78512396694214,166.27891865116544,164.7024724362418
20160111,S36M0323,168.2520661157025,169.74999288585968,168.09090204630047
20160111,S36M0324,170.98347107438016,171.73346387711354,169.2975135659799
20160111,S36M0325,171.72314049586777,173.46900099446066,171.6818109867163
20160112,S36M0328,129.02479338842974,131.56817630422302,128.35949875274673
20160112,S36M0329,130.40495867768595,132.80784567375667,130.48346560588107
20160112,S36M0330,134.07438016528926,134.5433827911038,133.82644067239016
20160112,S36M0331,137.71487603305786,141.23759738658555,138.4545396519825
20160112,S36M0332,140.42561983471074,143.9648699995596,142.4958617966622
20160113,S36M0335,45.84297520661157,45.28718818468042,107.86363184312358
20160113,S36M0336,40.392561983471076,56.69214638439007,155.9834645371884
20160113,S36M0337,59.14462809917355,67.1053690884728,148.8512334311381
20160113,S36M0338,60.79338842975206,69.58470782754011,205.64048724947497
20160114,S36M0347,77.07438016528926,80.98966602724977,78.31404630467296
20160114,S36M0348,70.18181818181819,76.03098854911514,185.9297442738898
20160114,S36M0350,58.52479338842975,60.90702224080451,60.16941896593198
20160114,S36M0351,62.38429752066116,66.3615674667526,318.6322180512361
20160115,S36M0354,78.83471074380165,81.2375999011565,79.20660825073719
20160115,S36M0355,79.08264462809917,81.9814015228767,79.38429419370368
20160115,S36M0356,80.93388429752066,84.95660800975747,81.99586433218792
20160116,S36M0361,157.10330578512398,160.32850567740388,157.56197686772794
20160116,S36M0362,154.71487603305786,157.3532991905231,155.21900175930932
20160116,S36M0363,154.85537190082644,157.84916693833657,155.6156959575601
20160116,S36M0364,144.59504132231405,148.6756136037875,144.78098566783592
20160116,S36M0365,99.67355371900827,103.05578080494888,100.44627678208053
20160117,S36M0368,156.20247933884298,158.0971008122433,156.066109161824
20160117,S36M0369,162.10330578512398,164.04751378600486,161.90495189232752
20160117,S36M0370,167.03305785123968,170.49379450757988,167.78511693514884
20160117,S36M0372,167.87190082644628,170.49379450757988,168.3388359202072
20160118,S36M0375,146.30578512396696,149.4194152255077,146.59090294735506
20160118,S36M0376,149.30578512396696,151.40288621676154,149.07024168642238
20160118,S36M0377,153.60330578512398,156.11362982098944,153.69420843478292
20160118,S36M0378,154.01239669421489,157.3532991905231,154.2479274198413
20160118,S36M0379,156.56198347107437,158.34503468615003,156.34296865435317
20160119,S36M0382,154.71487603305786,157.84916693833657,155.09090259112418
20160119,S36M0383,155.24380165289256,158.0971008122433,154.86362987337634
20160119,S36M0384,154.24380165289256,156.6094975688029,154.20247287629172
20160119,S36M0385,151.17355371900825,153.63429108192213,151.7066052122973
20160119,S36M0386,148.64462809917356,151.898753964575,149.08263838011771
20160120,S36M0394,138.85537190082644,142.22933288221247,139.06197764305398
20160120,S36M0395,139.17355371900825,141.48553126049228,138.9214817811735
20160120,S36M0396,139.14462809917356,141.733465134399,139.21073796739802
20160120,S36M0397,136.82231404958677,139.74999414314516,137.1818124325946
20160121,S36M0400,141.42561983471074,144.95660549518652,142.73553120810539
20160121,S36M0401,142.90495867768595,146.19627486472018,143.0247873943299
20160121,S36M0402,141.62396694214877,144.7086716212798,141.71073786262423
20160121,S36M0403,142.70247933884298,146.19627486472018,143.15701879374683
20160121,S36M0404,142.28512396694214,146.4442087386269,143.62809315416962
20160122,S36M0407,140.89256198347107,144.7086716212798,142.25619238521904
20160122,S36M0408,140.01239669421489,141.98139900830574,141.13635772140697
20160122,S36M0409,131.70247933884298,136.27891990845092,133.74379604775459
20160122,S36M0410,127.68181818181819,133.0557795476634,136.05371330631897
20160122,S36M0411,124.73553719008264,129.33677143906243,137.28511821338907
20160123,S36M0414,141.46280991735537,144.46073774737306,142.01652297377586
20160123,S36M0415,158.47520661157026,161.07230729912408,158.39668757654727
20160123,S36M0416,160.08264462809916,164.2954476599116,161.99999321065843
20160123,S36M0417,166.98347107438016,169.99792675976641,167.3801582744345
20160124,S36M0421,159.33471074380165,160.5764395513106,159.24379497906193
20160124,S36M0422,162.55371900826447,163.79957991209812,162.3553650965914
20160124,S36M0424,164.53305785123968,166.0309847772587,164.33883608784527
20160124,S36M0425,170.58264462809916,172.47726549883373,170.7437944971025
20160125,S36M0428,156.55371900826447,158.0971008122433,156.48346451623365
20160125,S36M0429,157.14462809917356,159.08883630787022,157.2561917565763
20160125,S36M0430,158.09504132231405,159.83263792959042,157.96280329721048
20160125,S36M0431,157.34297520661158,159.08883630787022,157.2768529127352
20160125,S36M0432,157.73553719008265,160.08057180349715,157.01652234513313
20160126,S36M0436,161.31404958677686,162.064042794751,161.16941473307088
20160126,S36M0437,160.1818181818182,162.31197666865773,160.00412552570924
20160126,S36M0438,156.10330578512398,157.60123306442983,156.0247868495062
20160127,S36M0442,158.34297520661158,159.5847040556837,158.03305122815073
20160127,S36M0443,155.11570247933884,156.36156369489618,155.1446215971373
20160128,S36M0463,175.59504132231405,178.17974459868856,177.88842229684815
20160128,S36M0464,175.29338842975207,178.17974459868856,176.32230666000396
20160128,S36M0465,157.28512396694214,160.32850567740388,158.46280327625573
20160128,S36M0466,178.57438016528926,179.91528171603568,178.49999251915142
20160128,S36M0467,177.82231404958677,179.66734784212895,179.07437266036868
20160129,S36M0477,156.85537190082644,157.84916693833657,156.0454480056651
20160129,S36M0478,166.27272727272728,167.02272027288564,166.04544758656994
20160129,S36M0479,168.94214876033058,169.99792675976641,168.30991030158475
20160129,S36M0481,142.47520661157026,143.9648699995596,142.2809857726097
20160201,S36M0486,83.11570247933884,83.96487251413055,82.88842627825215
20160201,S36M0487,91.48347107438016,93.88222747039981,91.62809533346444
20160201,S36M0488,97.99586776859505,99.08883882244118,97.88016118714586
20160201,S36M0490,84.10330578512396,84.95660800975747,83.85950061772019
20160203,S36M0511,178.57438016528926,179.66734784212895,178.43387681944296
20160203,S36M0514,177.1818181818182,179.17148009431548,177.11156282527372
20160203,S36M0515,177.67355371900825,178.67561234650202,177.1363562126644
20160204,S36M0518,152.7520661157025,156.6094975688029,154.46693567512557
20160204,S36M0519,148.49586776859505,151.40288621676154,148.5578450136818
20160204,S36M0521,132.78512396694214,137.51858927798457,134.27685387665406
20160204,S36M0522,113.05371900826447,116.69214386981912,113.67354895500466
20160205,S36M0525,183.38429752066116,185.12189306807704,183.21073612337932
20160205,S36M0526,174.49586776859505,176.1962736074347,174.45040591200814
20160205,S36M0527,178.12396694214877,180.1632155899424,178.190075176768
20160205,S36M0529,173.59504132231405,176.44420748134144,173.73139767767861
20160206,S36M0533,174.95454545454547,176.44420748134144,174.8884224225767
20160206,S36M0534,176.6818181818182,178.4276784725953,176.61156284622848
20160206,S36M0535,173.21487603305786,174.95660423790105,173.00825721211731
20160206,S36M0536,175.69421487603304,178.17974459868856,176.69833970209584
20160207,S36M0539,185.11570247933884,186.60949631151743,184.94627324072644
20160207,S36M0540,181.39256198347107,182.64255432900973,181.21073620719835
20160207,S36M0541,179.95454545454547,181.40288495947607,179.88842221302912
20160207,S36M0543,176.6818181818182,177.93181072478183,176.60329838376492
20160208,S36M0546,131.55371900826447,133.7995811693836,131.30577962100506
20160208,S36M0547,129.03305785123968,131.32024243031628,128.98346566874534
20160208,S36M0548,128.14462809917356,129.8326391868759,127.6611516745761
20160208,S36M0549,124.36363636363636,127.35330044780858,126.07437488157302
20160209,S36M0553,166.56198347107437,168.01445576851256,166.41734839743003
20160209,S36M0554,167.41322314049586,168.75825739023276,167.2851169561036
20160209,S36M0555,167.36363636363637,168.75825739023276,167.2644557999447
20160209,S36M0556,164.63223140495867,166.52685252507217,164.3884228626266
20160209,S36M0557,163.59504132231405,165.53511702944525,163.73139809677377
20160210,S36M0560,199.03816238158228,201.9813964937348,199.03304950986058
20160210,S36M0561,206.22564515232966,209.9152804587502,205.46280130650848
20160210,S36M0564,184.476753989913,187.60123180714436,184.7190005229786
20160211,S36M0569,108.84297520661157,112.47726801340468,126.78511865343899
20160211,S36M0570,109.71487603305785,117.93181323935278,113.49173078080639
20160211,S36M0571,113.60330578512396,117.68387936544605,122.26858991710469
20160211,S36M0572,109.00413223140495,115.94834224809892,132.5082589094527
20160211,S36M0573,115.69421487603306,120.65908585232683,116.88016039086506
20160212,S36M0577,145.97520661157026,149.17148135160096,145.81817570701241
20160212,S36M0578,151.04545454545453,156.36156369489618,150.77272095391527
20160212,S36M0579,155.21487603305786,157.60123306442983,155.38842323981225
20160212,S36M0580,152.45454545454547,156.6094975688029,153.14462168095633
20160212,S36M0581,157.39256198347107,160.5764395513106,157.65288595482707
20160213,S36M0584,146.65289256198346,150.41115072113462,158.9751999489963
20160213,S36M0585,143.62396694214877,149.66734909941442,146.2520599863492
20160213,S36M0586,149.00413223140495,151.898753964575,153.83883652789518
20160213,S36M0587,151.05371900826447,153.63429108192213,158.08677023416385
20160213,S36M0588,148.69421487603304,151.1549523428548,157.26445621903986
20160214,S36M0591,170.73553719008265,172.72519937274046,170.6074308664538
