folder,profile_name_1,profile_name_2,similarity_before,similarity_after,lag,offset_mm
20170201,S37M1043,S37M1046,0.8095444503619271,0.8774708383192836,-3443,-14.227272131014615
20170201,S37M1045,S37M1046,0.8740385458907856,0.8771535274838378,703,2.9049585559405386
20170202,S37M1048,S37M1049,0.853393993052693,0.8769725786141062,-1250,-5.165289039723575
20170202,S37M1048,S37M1051,0.8564080314310495,0.8849799593032521,975,4.028925450984389
20170202,S37M1048,S37M1052,0.9225842711810612,0.925093053804761,-277,-1.1446280512027442
20170202,S37M1048,S37M1053,0.9009422718050002,0.9051355605587218,290,1.1983470572158694
20170202,S37M1048,S37M1054,0.862092108617853,0.8631389986014686,-51,-0.21074379282072186
20170202,S37M1048,S37M1055,0.8544997997001678,0.8958389261525882,-1030,-4.256198168732226
20170202,S37M1049,S37M1051,0.8001980501744653,0.8213853162561806,1153,4.764462610241026
20170202,S37M1049,S37M1052,0.6483905046583036,0.8682070156183305,1759,7.268594736699015
20170202,S37M1049,S37M1053,0.8304532200569001,0.8557789586420234,1033,4.2685948624275625
20170202,S37M1049,S37M1054,0.8660022101331615,0.8893871233458216,204,0.8429751712828875
20170202,S37M1049,S37M1055,0.9079921688355814,0.9153794689027407,-165,-0.6818181532435119
20170202,S37M1051,S37M1052,0.6719167353707761,0.6772317911143687,-707,-2.921487480867654
20170202,S37M1051,S37M1053,0.8665503836859724,0.8869730925863494,-511,-2.1115701594389975
20170202,S37M1051,S37M1054,0.8021629673073171,0.8156410024095793,-924,-3.8181816581636667
20170202,S37M1051,S37M1055,0.7959920606701831,0.8351226722276056,-1216,-5.024793177843094
20170202,S37M1052,S37M1053,0.9292617444668054,0.9308947581452831,90,0.3719008108600974
20170202,S37M1052,S37M1054,0.6818162196580263,0.6826072984737938,38,0.15702478680759668
20170202,S37M1052,S37M1055,0.7619712252873473,0.8835986268351367,-1778,-7.347107130102813
20170202,S37M1053,S37M1054,0.8458947917302108,0.853943777036465,-515,-2.128099084366113
20170202,S37M1053,S37M1055,0.8291934378043057,0.869557490712047,-1638,-6.768594757653773
20170202,S37M1054,S37M1055,0.8624491309512465,0.8785547628667507,-421,-1.7396693485789
20170203,S37M1057,S37M1058,0.6065806475740386,0.6186758727549291,-359,-1.4834710122086108
20170203,S37M1057,S37M1059,0.8606480119886395,0.8857933389116104,555,2.2933883336372674
20170203,S37M1057,S37M1061,0.45327717279222807,0.5299102145693062,896,3.7024791836738586
20170203,S37M1057,S37M1062,0.8787389563819954,0.9231554279537109,1813,7.491735223215073
20170203,S37M1057,S37M1063,0.8502670755564954,0.9137182681347119,2592,10.710743352770805
20170203,S37M1058,S37M1059,0.566351994702332,0.5748360266919793,675,2.7892560814507306
20170203,S37M1058,S37M1061,0.47038695321742546,0.6656905367789594,1433,5.9214873551391065
20170203,S37M1058,S37M1062,0.8539706722786191,0.904315612781098,1968,8.132231064140797
20170203,S37M1058,S37M1063,0.8232859287287551,0.9063824274486113,3031,12.524792863521725
20170203,S37M1059,S37M1061,0.46058256241432827,0.7135440662568765,1684,6.9586773943156
20170203,S37M1059,S37M1062,0.8259111779687837,0.8863119604042579,2595,10.723140046466142
20170203,S37M1059,S37M1063,0.7949720606021417,0.8911115051325975,2839,11.731404467020184
20170203,S37M1061,S37M1062,0.48523865038756625,0.5581426308696534,1161,4.797520460095257
20170203,S37M1061,S37M1063,0.45493870374264755,0.6325780536639944,1688,6.975206319242716
20170203,S37M1062,S37M1063,0.9220944779477365,0.9343447873418356,429,1.772727198433131
20170204,S37M1065,S37M1067,0.9089038268920457,0.9239587794764279,360,1.4876032434403896
20170204,S37M1065,S37M1068,0.5119973111271819,0.9032630313790594,2147,8.871900454629213
20170204,S37M1065,S37M1069,0.871756934543825,0.9120693230445265,1414,5.842974961735308
20170204,S37M1065,S37M1070,0.897860800640348,0.9038732423480018,250,1.033057807944715
20170204,S37M1065,S37M1071,0.8682485030548222,0.9046876214157774,1715,7.086776562500745
20170204,S37M1067,S37M1068,0.4843993025224823,0.9196604223066975,1397,5.7727270307950675
20170204,S37M1067,S37M1069,0.8989039374124902,0.9269393502865583,978,4.041322144679725
20170204,S37M1067,S37M1070,0.9121440866148761,0.9201032677719895,445,1.8388428981415927
20170204,S37M1067,S37M1071,0.8943202893543231,0.9218154877609029,1577,6.516528652515262
20170204,S37M1068,S37M1069,0.921621144973399,0.9318624084150696,-793,-3.276859366800636
20170204,S37M1068,S37M1070,0.561019160648674,0.9194232711170058,-566,-2.338842877186835
20170204,S37M1068,S37M1071,0.918002523633349,0.9195313794584453,247,1.0206611142493784
20170204,S37M1069,S37M1070,0.9196530707549294,0.9240429960266934,-600,-2.479338739067316
20170204,S37M1069,S37M1071,0.9128320089056484,0.9159525602437407,402,1.6611569551751018
20170204,S37M1070,S37M1071,0.9128079842095965,0.9185325158069951,284,1.1735536698251963
20170205,S37M1073,S37M1074,0.6172836066076038,0.6691396191155172,-657,-2.714875919278711
20170205,S37M1073,S37M1075,0.7591906502554917,0.7833431298751373,-659,-2.723140381742269
20170205,S37M1073,S37M1076,0.804828381187607,0.8196163722268579,-441,-1.8223139732144773
20170205,S37M1073,S37M1077,0.8630657972727177,0.8535032907951036,180,0.7438016217201948
20170205,S37M1073,S37M1078,0.8634304094447127,0.8764164411987906,447,1.8471073606051505
20170205,S37M1074,S37M1075,0.7752078823821442,0.7777997221071042,75,0.3099173423834145
20170205,S37M1074,S37M1076,0.6215286535686559,0.6323495296242481,303,1.2520660632289946
20170205,S37M1074,S37M1077,0.9095922729135024,0.9001191366374223,1279,5.285123745445162
20170205,S37M1074,S37M1078,0.6159124978854934,0.6650387307765961,1021,4.219008087646216
20170205,S37M1075,S37M1076,0.7888020242562557,0.8853994079244087,772,3.19008251093328
20170205,S37M1075,S37M1077,0.9469065825903765,0.9532374939624466,1432,5.917355123907328
20170205,S37M1075,S37M1078,0.8051223224752253,0.8328594741934816,1272,5.25619812682271
20170205,S37M1076,S37M1077,0.9495003781393383,0.9485101379121581,950,3.925619670189917
20170205,S37M1076,S37M1078,0.8306495653206635,0.8620578442949993,1344,5.553718775510788
20170205,S37M1077,S37M1078,0.9493923296006916,0.9595338101805105,468,1.9338842164725065
20170207,S37M1085,S37M1087,0.8131276836132789,0.8895880973283193,-2612,-10.793387977406383
20170207,S37M1085,S37M1088,0.7869540906870911,0.8823916087720471,-2849,-11.772726779337972
20170207,S37M1085,S37M1089,0.808132282705261,0.8763169477444451,-3350,-13.842974626459181
20170207,S37M1085,S37M1090,0.8050226257853029,0.8917006348937561,-3723,-15.384296875912696
20170207,S37M1087,S37M1088,0.8590164795175482,0.8787938026118713,-647,-2.6735536069609225
20170207,S37M1087,S37M1089,0.87014201017265,0.8927073598209427,-824,-3.4049585349857807
20170207,S37M1087,S37M1090,0.8681642375371044,0.9061162258541686,-1285,-5.309917132835835
20170207,S37M1088,S37M1089,0.8586954459444537,0.8839279077340464,-493,-2.037189997266978
20170207,S37M1088,S37M1090,0.8735105637905044,0.9078628204944413,-669,-2.7644626940600574
20170207,S37M1089,S37M1090,0.9264600348156834,0.9271119719853581,-321,-1.326446225401014
20170208,S37M1092,S37M1093,0.8803348740448521,0.8931937417543655,491,2.0289255348034203
20170208,S37M1092,S37M1094,0.8028054003005021,0.9132591295772687,2453,10.136363211553544
20170208,S37M1092,S37M1095,0.8760990711984404,0.9034462070604404,1303,5.384297295007855
20170208,S37M1092,S37M1096,0.8618407074725806,0.8817763837240574,1283,5.3016526703722775
20170208,S37M1092,S37M1097,0.862680873018856,0.8865067679926494,1372,5.669421250000596
20170208,S37M1092,S37M1098,0.8247619826613571,0.8749669874790073,2085,8.615702118258923
20170208,S37M1093,S37M1094,0.8705471401781055,0.9153117565895432,1399,5.780991493258625
20170208,S37M1093,S37M1095,0.8793832566732384,0.8828363844467839,-665,-2.747933769132942
20170208,S37M1093,S37M1096,0.8749647334817022,0.8831895702845315,-810,-3.3471072977408767
20170208,S37M1093,S37M1097,0.9278480721769715,0.9310222281315426,335,1.3842974626459181
20170208,S37M1093,S37M1098,0.9072947397993377,0.9145169792183507,770,3.1818180484697223
20170208,S37M1094,S37M1095,0.8171642963333166,0.9105432082946268,-1850,-7.644627778790891
20170208,S37M1094,S37M1096,0.8117057510868301,0.9017617035423243,-2029,-8.384297169279307
20170208,S37M1094,S37M1097,0.8839013614389474,0.9099241181713832,-1351,-5.58264439413324
20170208,S37M1094,S37M1098,0.8841296429965885,0.9054463784256863,-549,-2.268594946246594
20170208,S37M1095,S37M1096,0.894873731649935,0.9012185168066484,-61,-0.25206610513851047
20170208,S37M1095,S37M1097,0.8642756603642527,0.8816732345712123,311,1.2851239130832255
20170208,S37M1095,S37M1098,0.8528084690095402,0.8897076792040396,781,3.2272725920192897
20170208,S37M1096,S37M1097,0.8864802663408837,0.8816028781740815,852,3.520661009475589
20170208,S37M1096,S37M1098,0.8323066932201063,0.8908566075100738,879,3.632231252733618
20170208,S37M1097,S37M1098,0.9142308570644926,0.9191395227648756,252,1.0413222704082727
20170209,S37M1101,S37M1102,0.7171790025278755,0.7319287789974991,-4813,-19.888428918551654
20170209,S37M1101,S37M1105,0.6906094333818809,0.8122681915421708,3250,13.429751503281295
20170209,S37M1102,S37M1105,0.5400515892274946,0.8247181829167235,7776,32.132230058312416
20170211,S37M1119,S37M1120,0.8661103900548709,0.9289454207889456,3165,13.078511848580092
20170211,S37M1119,S37M1121,0.779577278416619,0.9160829798834377,6874,28.404957487247884
20170211,S37M1119,S37M1122,0.3752605219061791,0.5750003839914516,7092,29.305783895775676
20170211,S37M1119,S37M1123,0.6717220798398259,0.7285452767039196,-694,-2.867768474854529
20170211,S37M1119,S37M1124,0.5791867600059086,0.6944659998315034,3517,14.533057242166251
20170211,S37M1119,S37M1125,0.7931993988995231,0.8834805113669341,3764,15.55371835641563
20170211,S37M1120,S37M1121,0.8375230927068253,0.9149606623613881,2757,11.392561506014317
20170211,S37M1120,S37M1122,0.42123606070334524,0.5147753276288729,2390,9.876032643951476
20170211,S37M1120,S37M1123,0.6676363349689797,0.7290459288245184,2732,11.289255725219846
20170211,S37M1120,S37M1124,0.6626282714806888,0.6700515058118968,-657,-2.714875919278711
20170211,S37M1120,S37M1125,0.8665895503303418,0.8671954585325097,-374,-1.5454544806852937
20170211,S37M1121,S37M1122,0.6447611562483572,0.6683066249022569,208,0.8595040962100029
20170211,S37M1121,S37M1123,0.7481314196505587,0.7589402297400256,372,1.537190018221736
20170211,S37M1121,S37M1124,0.5628745616081758,0.7350886899033958,-3341,-13.805784545373172
20170211,S37M1121,S37M1125,0.7827363538288108,0.8750236014177113,-3104,-12.826445743441582
20170211,S37M1122,S37M1123,0.5448840350748915,0.6970598950500116,-7731,-31.946279652882367
20170211,S37M1122,S37M1124,0.30426975278532675,0.6427082280138423,-10732,-44.34710557945073
20170211,S37M1122,S37M1125,0.38355008844160293,0.5803000811984552,-3316,-13.7024787645787
20170211,S37M1123,S37M1124,0.4752272620968741,0.8489862804512466,-2964,-12.247933370992541
20170211,S37M1123,S37M1125,0.6408874724765115,0.8129365197248631,-2370,-9.793388019315898
20170211,S37M1124,S37M1125,0.7117049909647248,0.791749757294199,460,1.9008263666182756
20170212,S37M1127,S37M1128,0.7697819038166066,0.8974924676852672,640,2.6446279883384705
20170212,S37M1127,S37M1129,0.7015629403616109,0.841399745278431,1801,7.442148448433727
20170212,S37M1127,S37M1130,0.6775789321764328,0.8304110251777036,2029,8.384297169279307
20170212,S37M1127,S37M1131,0.605121967816632,0.9049003046461489,2546,10.520660716108978
20170212,S37M1127,S37M1132,0.739974331486895,0.8602530362871844,1114,4.60330559220165
20170212,S37M1127,S37M1133,0.802486719696324,0.9138298646716578,-423,-1.7479338110424578
20170212,S37M1128,S37M1129,0.8644162112343093,0.9092245017575092,1086,4.487603117711842
20170212,S37M1128,S37M1130,0.8403267042542003,0.9103597622786979,1300,5.371900601312518
20170212,S37M1128,S37M1131,0.7508976165578872,0.8859268831136117,1138,4.702479141764343
20170212,S37M1128,S37M1132,0.8878078303429985,0.9106023205405174,359,1.4834710122086108
20170212,S37M1128,S37M1133,0.725529489366668,0.9166263861805892,-1109,-4.582644436042756
20170212,S37M1129,S37M1130,0.9388054130478609,0.9416180548739221,221,0.9132231022231281
20170212,S37M1129,S37M1131,0.8652853247016502,0.881819194965336,747,3.0867767301388085
20170212,S37M1129,S37M1132,0.9045380041698297,0.9147918192975132,-696,-2.8760329373180866
20170212,S37M1129,S37M1133,0.7409698726018085,0.8686560939051994,-2193,-9.06198309129104
20170212,S37M1130,S37M1131,0.8499331363641662,0.8634631237412105,528,2.181818090379238
20170212,S37M1130,S37M1132,0.8802007589495855,0.9139416992937947,-901,-3.723140339832753
20170212,S37M1130,S37M1133,0.7220611995319264,0.8529965329869551,-2422,-10.0082640433684
20170212,S37M1131,S37M1132,0.83734805574489,0.89650966131355,-1445,-5.971074129920453
20170212,S37M1131,S37M1133,0.6451803740290248,0.8917331913512413,-2939,-12.14462759019807
20170212,S37M1132,S37M1133,0.7358997537341351,0.8896185901946142,-1493,-6.169421229045838
20170213,S37M1135,S37M1136,0.7464448874272601,0.7532287496261038,97,0.40082642948254943
20170213,S37M1135,S37M1137,0.830246071138033,0.8551002318367432,714,2.950413099490106
20170213,S37M1135,S37M1138,0.5220102755131476,0.561629063224822,758,3.132231273688376
20170213,S37M1135,S37M1139,0.8099716815383965,0.8163524918894838,177,0.7314049280248582
20170213,S37M1135,S37M1140,0.6214106056411881,0.6214667512553397,-6,-0.02479338739067316
20170213,S37M1135,S37M1141,0.7724973342104744,0.7892122853961949,-512,-2.1157023906707764
20170213,S37M1136,S37M1137,0.7625455109215855,0.8047732827701929,582,2.4049585768952966
20170213,S37M1136,S37M1138,0.6715777705222371,0.8622225562639418,631,2.6074379072524607
20170213,S37M1136,S37M1139,0.8253648683412311,0.8354480762172366,-254,-1.0495867328718305
20170213,S37M1136,S37M1140,0.8517318672292187,0.8768745242822616,-109,-0.45041320426389575
20170213,S37M1136,S37M1141,0.7509680152055469,0.8285524195095451,-608,-2.512396588921547
20170213,S37M1137,S37M1138,0.7131673408967927,0.7199229437139801,65,0.2685950300656259
20170213,S37M1137,S37M1139,0.8833991705943812,0.9266687941579674,-554,-2.2892561024054885
20170213,S37M1137,S37M1140,0.7317858595217704,0.7899657865359107,-554,-2.2892561024054885
20170213,S37M1137,S37M1141,0.7962988376922574,0.896754032837786,-1368,-5.652892325073481
20170213,S37M1138,S37M1139,0.6440558127364008,0.7684688679813212,-744,-3.074380036443472
20170213,S37M1138,S37M1140,0.6353622835766386,0.9175576250046429,-728,-3.00826433673501
20170213,S37M1138,S37M1141,0.5290272056333152,0.7639369566658555,-1246,-5.14876011479646
20170213,S37M1139,S37M1140,0.8319269885455318,0.8329222190273904,103,0.4256198168732226
20170213,S37M1139,S37M1141,0.861364493180588,0.9161662725988512,-795,-3.2851238292641938
20170213,S37M1140,S37M1141,0.712041959572507,0.8410951848419357,-1172,-4.842975003644824
20170214,S37M1143,S37M1144,0.8270627117210961,0.8868923913727256,1592,6.578512120991945
20170214,S37M1143,S37M1145,0.8424255119753967,0.9176824975593628,1231,5.086776646319777
20170214,S37M1143,S37M1146,0.7955354557701849,0.8588279792890906,1852,7.652892241254449
20170214,S37M1143,S37M1147,0.7723822102246606,0.8557511063507606,2331,9.632231001276523
20170214,S37M1143,S37M1148,0.7345315720454317,0.7855192418148944,2728,11.27272680029273
20170214,S37M1143,S37M1149,0.7852842616075527,0.8792966639987688,1708,7.057850943878293
20170214,S37M1144,S37M1145,0.8007008759146216,0.8165533045104058,-168,-0.6942148469388485
20170214,S37M1144,S37M1146,0.9051501109922532,0.9073072110183623,213,0.8801652523688972
20170214,S37M1144,S37M1147,0.9063139215575177,0.9168123125524851,793,3.276859366800636
20170214,S37M1144,S37M1148,0.8603131623283564,0.865139334970521,375,1.5495867119170725
20170214,S37M1144,S37M1149,0.7751316015953281,0.7832957469534875,305,1.2603305256925523
20170214,S37M1145,S37M1146,0.7595584083610258,0.7818121926427613,375,1.5495867119170725
20170214,S37M1145,S37M1147,0.730572822947325,0.7725509996373363,1617,6.681817901786417
20170214,S37M1145,S37M1148,0.6620614391215675,0.6870252544490413,1450,5.991735286079347
20170214,S37M1145,S37M1149,0.8621592563942015,0.909353607617048,469,1.9380164477042854
20170214,S37M1146,S37M1147,0.919236984682063,0.9261094289179628,556,2.297520564869046
20170214,S37M1146,S37M1148,0.8967674413514851,0.9193972114418077,680,2.809917237609625
20170214,S37M1146,S37M1149,0.7888887073810797,0.7911997856487523,100,0.413223123177886
20170214,S37M1147,S37M1148,0.9001046363486209,0.9008477176326856,18,0.07438016217201948
20170214,S37M1147,S37M1149,0.7432150644614972,0.7768135751048941,-1022,-4.223140318877995
20170214,S37M1148,S37M1149,0.7105311531276148,0.7252304947891681,-280,-1.1570247448980808
20170215,S37M1151,S37M1152,0.922321862986977,0.9267708874375393,-754,-3.1157023487612605
20170215,S37M1151,S37M1153,0.7998153680129896,0.8004845924413921,-91,-0.37603304209187627
20170215,S37M1151,S37M1154,0.9120191847341801,0.9193897759656275,522,2.157024702988565
20170215,S37M1151,S37M1155,0.7912441692106507,0.7977224960807271,371,1.533057786989957
